,楼盘名,链接,地址,楼盘状态,楼盘类型,均价,居室类型,面积
24,汇荣·桂林桂林,http://gl.loupan.com/loupan/7076509.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：76.96-133平米 
25,锦豪·迪亚小城,http://gl.loupan.com/loupan/7075483.html,[七星区],现房在售,住宅,6600,null,null
26,鹏程金色城市,http://gl.loupan.com/loupan/7075456.html,[八里街区],现房在售,住宅,4988, 一居  ，  二居  ，  三居 , 面积：73.44-129.94平米 
27,信昌棠棣之华,http://gl.loupan.com/loupan/7031349.html,[七星区],在售,住宅,9500, 一居  ，  二居  ，  三居 , 面积：34.32-142.05平米 
28,双悦SOHO,http://gl.loupan.com/loupan/7075472.html,[八里街区],现房在售,住宅,5300, 二居  ，  三居  ，  四居 , 面积：85-131.8平米 
29,三元极第,http://gl.loupan.com/loupan/6183470.html,[八里街区],在售,住宅,4500, 一居  ，  二居  ，  三居 , 面积：115-127.27平米 
30,雅云尚城,http://gl.loupan.com/loupan/7030701.html,[八里街区],现房在售,住宅,5000, 三居  ，  四居 , 面积：84.85-124.60平米 
31,瑞锦欣城,http://gl.loupan.com/loupan/7030735.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：87-157平米 
32,瑞锦国际商贸城·浙商大酒店,http://gl.loupan.com/loupan/7078639.html,[大桂林],在售,住宅,7000, 一居  ，  二居 , 面积：42-89平米 
33,桂林恒大广场,http://gl.loupan.com/loupan/7075409.html,[叠彩区],现房在售,住宅,7100, 三居  ，  四居 , 面积：186.29-276.63平米 
34,天骄·紫东新城,http://gl.loupan.com/loupan/7080082.html,[大桂林],在售,住宅,4800, 二居  ，  三居  ，  四居 , 面积：89.07-143.07平米 
35,三祺·澜湖国际,http://gl.loupan.com/loupan/7075424.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：92.83-185.79平米 
36,耀辉·美好家园,http://gl.loupan.com/loupan/6183428.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：60.55-263.84平米 
37,安厦·麒麟湾畔,http://gl.loupan.com/loupan/7077329.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：83.06-367.76平米 
38,花样年·麓湖国际社区,http://gl.loupan.com/loupan/6183443.html,[临桂区],在售,住宅,6000, 二居  ，  三居  ，  四居 , 面积：79.96-135平米 
39,慧佳城,http://gl.loupan.com/loupan/7075442.html,[临桂区],现房在售,住宅,6200, 三居  ，  四居 , 面积：91.37-136.9平米 
40,彰泰金桥水岸,http://gl.loupan.com/loupan/7075401.html,[临桂区],现房在售,住宅,6300, 二居  ，  三居  ，  四居 , 面积：72-120平米 
41,汇金万象新城,http://gl.loupan.com/loupan/7077130.html,[八里街区],在售,住宅,7500, 一居  ，  二居  ，  三居 , 面积：76.9-240平米 
42,安厦漓江大美,http://gl.loupan.com/loupan/7031463.html,[象山区],在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：70.79-153.10平米 
43,兴进·漓江郡府,http://gl.loupan.com/loupan/7031310.html,[七星区],在售,住宅,12500, 二居  ，  三居  ，  四居 , 面积：83-257平米 
44,HAO悦国际,http://gl.loupan.com/loupan/7079596.html,[象山区],在售,住宅,8500,null, 面积：64.01-64.01平米 
45,新裕公馆,http://gl.loupan.com/loupan/7075492.html,[七星区],现房在售,住宅,7300, 二居  ，  三居 , 面积：83.52-129平米 
46,彰泰橘子郡,http://gl.loupan.com/loupan/7075398.html,[叠彩区],现房在售,住宅,5388, 三居  ，  四居 , 面积：89-126平米 
47,龙光·普罗旺斯,http://gl.loupan.com/loupan/7076734.html,[象山区],在售,住宅,6500, 三居  ，  四居  ，  五居 , 面积：88.82-223.63平米 
48,大龙湾,http://gl.loupan.com/loupan/7075464.html,[秀峰区],现房在售,住宅,11000, 三居  ，  四居 , 面积：98-140平米 
49,汇荣·桂林桂林,http://gl.loupan.com/loupan/7076509.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：76.96-133平米 
50,飞虎林居,http://gl.loupan.com/loupan/7032849.html,[大桂林],现房在售,住宅,5100, 一居  ，  二居  ，  三居 , 面积：43-138.9平米 
51,飞虎林居·主题式酒店公寓,http://gl.loupan.com/loupan/6183429.html,[临桂区],现房在售,住宅,6100,null, 面积：51-51平米 
52,桂林碧桂园,http://gl.loupan.com/loupan/7075458.html,[临桂区],现房在售,住宅,7300, 二居  ，  三居  ，  四居 , 面积：72-818平米 
53,桂林国奥城,http://gl.loupan.com/loupan/7031337.html,[叠彩区],在售,住宅,9200, 三居  ，  四居 , 面积：89-215平米 
54,万鑫商贸广场· 曼哈顿酒店,http://gl.loupan.com/loupan/7079991.html,[叠彩区],在售,住宅,9500,null,null
55, 融创桂林文旅城,http://gl.loupan.com/loupan/7031322.html,[七星区],现房在售,住宅,8600, 二居  ，  三居  ，  四居 , 面积：75-138平米 
56,彰泰峰誉,http://gl.loupan.com/loupan/7031338.html,[八里街区],现房在售,住宅,5200, 一居  ，  二居  ，  三居 , 面积：39-137平米 
57,信和信大中华养生谷,http://gl.loupan.com/loupan/7075482.html,[临桂区],现房在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：88.5-179.06平米 
58,彰泰桃源居,http://gl.loupan.com/loupan/7075427.html,[秀峰区],现房在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：75-141平米 
59,星河园,http://gl.loupan.com/loupan/7075465.html,[灵川县],在售,住宅,4500, 四居 , 面积：124.56-136.86平米 
60,精通·伊顿国际,http://gl.loupan.com/loupan/6183539.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：85.75-143.39平米 
61,金源新城福邸嘉园,http://gl.loupan.com/loupan/6183504.html,[临桂区],在售,住宅,6400, 三居  ，  四居 , 面积：128-159平米 
62,兴进漓江壹号,http://gl.loupan.com/loupan/7083218.html,[七星区],期房待售,住宅,价格待定, 三居  ，  四居  ，  五居 , 面积：87.51-259.33平米 
63,安厦西宸源著,http://gl.loupan.com/loupan/7083317.html,[临桂区],待售,住宅,价格待定,null,null
64,筑成时代春晓,http://gl.loupan.com/loupan/7081698.html,[叠彩区],期房待售,住宅,价格待定, 三居  ，  四居  ，  五居 , 面积：20.07-153.25平米 
65,阳光书院,http://gl.loupan.com/loupan/7084019.html,[临桂区],期房在售,住宅,价格待定, 二居  ，  三居  ，  四居 , 面积：45-129.21平米 
66,桂林大龙府,http://gl.loupan.com/loupan/7083343.html,[灵川县],期房待售,住宅,价格待定,null,null
67,绿涛甘棠府,http://gl.loupan.com/loupan/7084871.html,[灵川县],在售,住宅,价格待定,null,null
68,安厦世纪城,http://gl.loupan.com/loupan/7076979.html,[象山区],期房在售,住宅,价格待定,null,null
69,碧园香槟小镇,http://gl.loupan.com/loupan/7075428.html,[临桂区],现房待售,住宅,价格待定,null, 面积：75-121平米 
70,荣和桃花源著,http://gl.loupan.com/loupan/7081711.html,[叠彩区],期房待售,住宅,价格待定, 三居  ，  四居 , 面积：95-140平米 
71,顺祥漓江源居,http://gl.loupan.com/loupan/7083925.html,[八里街区],期房待售,住宅,价格待定,null,null
72,彰泰·中央城,http://gl.loupan.com/loupan/7081959.html,[临桂区],期房待售,住宅,价格待定, 三居  ，  四居  ，  五居 , 面积：102-142平米 
73,广汇汇悦城,http://gl.loupan.com/loupan/7082677.html,[临桂区],期房待售,住宅,价格待定, 三居  ，  四居 , 面积：86-118平米 
74,桂林国韵村,http://gl.loupan.com/loupan/7081781.html,[临桂区],期房在售,住宅,价格待定, 三居  ，  四居 , 面积：93-138平米 
75,锦豪·迪亚小城,http://gl.loupan.com/loupan/7075483.html,[七星区],现房在售,住宅,6600,null,null
76,鹏程金色城市,http://gl.loupan.com/loupan/7075456.html,[八里街区],现房在售,住宅,4988, 一居  ，  二居  ，  三居 , 面积：73.44-129.94平米 
77,信昌棠棣之华,http://gl.loupan.com/loupan/7031349.html,[七星区],在售,住宅,9500, 一居  ，  二居  ，  三居 , 面积：34.32-142.05平米 
78,双悦SOHO,http://gl.loupan.com/loupan/7075472.html,[八里街区],现房在售,住宅,5300, 二居  ，  三居  ，  四居 , 面积：85-131.8平米 
79,三元极第,http://gl.loupan.com/loupan/6183470.html,[八里街区],在售,住宅,4500, 一居  ，  二居  ，  三居 , 面积：115-127.27平米 
80,雅云尚城,http://gl.loupan.com/loupan/7030701.html,[八里街区],现房在售,住宅,5000, 三居  ，  四居 , 面积：84.85-124.60平米 
81,瑞锦欣城,http://gl.loupan.com/loupan/7030735.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：87-157平米 
82,瑞锦国际商贸城·浙商大酒店,http://gl.loupan.com/loupan/7078639.html,[大桂林],在售,住宅,7000, 一居  ，  二居 , 面积：42-89平米 
83,桂林恒大广场,http://gl.loupan.com/loupan/7075409.html,[叠彩区],现房在售,住宅,7100, 三居  ，  四居 , 面积：186.29-276.63平米 
84,天骄·紫东新城,http://gl.loupan.com/loupan/7080082.html,[大桂林],在售,住宅,4800, 二居  ，  三居  ，  四居 , 面积：89.07-143.07平米 
85,三祺·澜湖国际,http://gl.loupan.com/loupan/7075424.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：92.83-185.79平米 
86,耀辉·美好家园,http://gl.loupan.com/loupan/6183428.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：60.55-263.84平米 
87,安厦·麒麟湾畔,http://gl.loupan.com/loupan/7077329.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：83.06-367.76平米 
88,花样年·麓湖国际社区,http://gl.loupan.com/loupan/6183443.html,[临桂区],在售,住宅,6000, 二居  ，  三居  ，  四居 , 面积：79.96-135平米 
89,慧佳城,http://gl.loupan.com/loupan/7075442.html,[临桂区],现房在售,住宅,6200, 三居  ，  四居 , 面积：91.37-136.9平米 
90,彰泰金桥水岸,http://gl.loupan.com/loupan/7075401.html,[临桂区],现房在售,住宅,6300, 二居  ，  三居  ，  四居 , 面积：72-120平米 
91,汇金万象新城,http://gl.loupan.com/loupan/7077130.html,[八里街区],在售,住宅,7500, 一居  ，  二居  ，  三居 , 面积：76.9-240平米 
92,安厦漓江大美,http://gl.loupan.com/loupan/7031463.html,[象山区],在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：70.79-153.10平米 
93,兴进·漓江郡府,http://gl.loupan.com/loupan/7031310.html,[七星区],在售,住宅,12500, 二居  ，  三居  ，  四居 , 面积：83-257平米 
94,HAO悦国际,http://gl.loupan.com/loupan/7079596.html,[象山区],在售,住宅,8500,null, 面积：64.01-64.01平米 
95,新裕公馆,http://gl.loupan.com/loupan/7075492.html,[七星区],现房在售,住宅,7300, 二居  ，  三居 , 面积：83.52-129平米 
96,彰泰橘子郡,http://gl.loupan.com/loupan/7075398.html,[叠彩区],现房在售,住宅,5388, 三居  ，  四居 , 面积：89-126平米 
97,龙光·普罗旺斯,http://gl.loupan.com/loupan/7076734.html,[象山区],在售,住宅,6500, 三居  ，  四居  ，  五居 , 面积：88.82-223.63平米 
98,大龙湾,http://gl.loupan.com/loupan/7075464.html,[秀峰区],现房在售,住宅,11000, 三居  ，  四居 , 面积：98-140平米 
99,汇荣·桂林桂林,http://gl.loupan.com/loupan/7076509.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：76.96-133平米 
100,飞虎林居,http://gl.loupan.com/loupan/7032849.html,[大桂林],现房在售,住宅,5100, 一居  ，  二居  ，  三居 , 面积：43-138.9平米 
101,飞虎林居·主题式酒店公寓,http://gl.loupan.com/loupan/6183429.html,[临桂区],现房在售,住宅,6100,null, 面积：51-51平米 
102,桂林碧桂园,http://gl.loupan.com/loupan/7075458.html,[临桂区],现房在售,住宅,7300, 二居  ，  三居  ，  四居 , 面积：72-818平米 
103,桂林国奥城,http://gl.loupan.com/loupan/7031337.html,[叠彩区],在售,住宅,9200, 三居  ，  四居 , 面积：89-215平米 
104,万鑫商贸广场· 曼哈顿酒店,http://gl.loupan.com/loupan/7079991.html,[叠彩区],在售,住宅,9500,null,null
105, 融创桂林文旅城,http://gl.loupan.com/loupan/7031322.html,[七星区],现房在售,住宅,8600, 二居  ，  三居  ，  四居 , 面积：75-138平米 
106,彰泰峰誉,http://gl.loupan.com/loupan/7031338.html,[八里街区],现房在售,住宅,5200, 一居  ，  二居  ，  三居 , 面积：39-137平米 
107,信和信大中华养生谷,http://gl.loupan.com/loupan/7075482.html,[临桂区],现房在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：88.5-179.06平米 
108,彰泰桃源居,http://gl.loupan.com/loupan/7075427.html,[秀峰区],现房在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：75-141平米 
109,星河园,http://gl.loupan.com/loupan/7075465.html,[灵川县],在售,住宅,4500, 四居 , 面积：124.56-136.86平米 
110,精通·伊顿国际,http://gl.loupan.com/loupan/6183539.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：85.75-143.39平米 
111,金源新城福邸嘉园,http://gl.loupan.com/loupan/6183504.html,[临桂区],在售,住宅,6400, 三居  ，  四居 , 面积：128-159平米 
112,兴进漓江壹号,http://gl.loupan.com/loupan/7083218.html,[七星区],期房待售,住宅,价格待定, 三居  ，  四居  ，  五居 , 面积：87.51-259.33平米 
113,安厦西宸源著,http://gl.loupan.com/loupan/7083317.html,[临桂区],待售,住宅,价格待定,null,null
114,筑成时代春晓,http://gl.loupan.com/loupan/7081698.html,[叠彩区],期房待售,住宅,价格待定, 三居  ，  四居  ，  五居 , 面积：20.07-153.25平米 
115,阳光书院,http://gl.loupan.com/loupan/7084019.html,[临桂区],期房在售,住宅,价格待定, 二居  ，  三居  ，  四居 , 面积：45-129.21平米 
116,桂林大龙府,http://gl.loupan.com/loupan/7083343.html,[灵川县],期房待售,住宅,价格待定,null,null
117,绿涛甘棠府,http://gl.loupan.com/loupan/7084871.html,[灵川县],在售,住宅,价格待定,null,null
118,安厦世纪城,http://gl.loupan.com/loupan/7076979.html,[象山区],期房在售,住宅,价格待定,null,null
119,碧园香槟小镇,http://gl.loupan.com/loupan/7075428.html,[临桂区],现房待售,住宅,价格待定,null, 面积：75-121平米 
120,荣和桃花源著,http://gl.loupan.com/loupan/7081711.html,[叠彩区],期房待售,住宅,价格待定, 三居  ，  四居 , 面积：95-140平米 
121,顺祥漓江源居,http://gl.loupan.com/loupan/7083925.html,[八里街区],期房待售,住宅,价格待定,null,null
122,彰泰·中央城,http://gl.loupan.com/loupan/7081959.html,[临桂区],期房待售,住宅,价格待定, 三居  ，  四居  ，  五居 , 面积：102-142平米 
123,广汇汇悦城,http://gl.loupan.com/loupan/7082677.html,[临桂区],期房待售,住宅,价格待定, 三居  ，  四居 , 面积：86-118平米 
124,桂林国韵村,http://gl.loupan.com/loupan/7081781.html,[临桂区],期房在售,住宅,价格待定, 三居  ，  四居 , 面积：93-138平米 
125,中森橄榄树庄园,http://gl.loupan.com/loupan/7083345.html,[临桂区],待售,住宅,价格待定, 一居  ，  二居  ，  三居 , 面积：53.8-131平米 
126,盛丰国际,http://gl.loupan.com/loupan/7075471.html,[七星区],期房在售,住宅,价格待定, 一居 , 面积：41.43-55.97平米 
127,阳光家园,http://gl.loupan.com/loupan/7084631.html,[秀峰区],期房待售,住宅,价格待定, 二居  ，  三居 , 面积：76.3-116.28平米 
128,兴安碧桂园,http://gl.loupan.com/loupan/7081501.html,[大桂林],期房在售,住宅,价格待定,null,null
129,平乐碧桂园,http://gl.loupan.com/loupan/7083186.html,[大桂林],期房在售,住宅,价格待定,null,null
130,雍禾新城国际,http://gl.loupan.com/loupan/7083415.html,[临桂区],待售,住宅,价格待定, 二居  ，  三居 , 面积：84.66-120.34平米 
131,溪岸枫景,http://gl.loupan.com/loupan/7082587.html,[临桂区],在售,住宅,39, 二居  ，  三居  ，  四居 , 面积：75-143平米 
132,桂林公馆原乡墅,http://gl.loupan.com/loupan/6183505.html,[叠彩区],在售,住宅,320,null,null
133,水印长廊,http://gl.loupan.com/loupan/6183537.html,[],在售,住宅,1300,null,null
134,华申昭州鑫城,http://gl.loupan.com/loupan/7075407.html,[大桂林],现房在售,住宅,3000, 二居  ，  三居  ，  四居 , 面积：87.85-160.63平米 
135,和谐康城,http://gl.loupan.com/loupan/6183515.html,[灵川县],在售,住宅,3100, 二居  ，  三居 ,null
136,福祥西岸福邸,http://gl.loupan.com/loupan/7075497.html,[大桂林],现房在售,住宅,3100, 三居  ，  四居 , 面积：104.04-142.69平米 
137,翠苑新城,http://gl.loupan.com/loupan/7083217.html,[临桂区],在售,住宅,3200, 二居  ，  三居 , 面积：83.46-126.12平米 
138,万福安居小区,http://gl.loupan.com/loupan/7083224.html,[象山区],期房在售,住宅,3200, 一居  ，  二居  ，  三居 , 面积：47.89-83.16平米 
139,体育星城三期,http://gl.loupan.com/loupan/7075480.html,[大桂林],现房在售,住宅,3200, 三居  ，  四居 , 面积：119.36-142.57平米 
140,华盛滨江一品,http://gl.loupan.com/loupan/7075496.html,[大桂林],现房在售,住宅,3300, 三居 , 面积：117.56-119019平米 
141,古镇庭苑,http://gl.loupan.com/loupan/6183438.html,[灵川县],在售,住宅,3300, 二居  ，  三居 ,null
142,展卓新视界,http://gl.loupan.com/loupan/7075433.html,[大桂林],现房在售,住宅,3400, 二居  ，  三居 , 面积：92-157平米 
143,彰泰北城1号,http://gl.loupan.com/loupan/7075430.html,[灵川县],现房在售,住宅,3500, 二居  ，  三居 , 面积：79-117平米 
144,东方沃顿,http://gl.loupan.com/loupan/7083440.html,[临桂区],在售,住宅,3500, 三居 , 面积：123-124平米 
145,幸福尚城,http://gl.loupan.com/loupan/7082007.html,[灵川县],在售,住宅,3500, 二居  ，  三居  ，  四居 , 面积：89-129.82平米 
146,景业商业广场,http://gl.loupan.com/loupan/7075552.html,[大桂林],现房在售,住宅,3500, 三居 , 面积：130.46-130.46平米 
147,财茂印象恭城,http://gl.loupan.com/loupan/7075419.html,[大桂林],现房在售,住宅,3500, 二居  ，  三居 , 面积：86.95-125.96平米 
148,东苑国际,http://gl.loupan.com/loupan/7075463.html,[七星区],现房在售,住宅,3580, 二居  ，  三居 , 面积：83-122平米 
149,金达雅苑,http://gl.loupan.com/loupan/7093643.html,[八里街区],在售,住宅,3584, 四居 , 面积：104.79-134.04平米 
150,锦豪·迪亚小城,http://gl.loupan.com/loupan/7075483.html,[七星区],现房在售,住宅,6600,null,null
151,鹏程金色城市,http://gl.loupan.com/loupan/7075456.html,[八里街区],现房在售,住宅,4988, 一居  ，  二居  ，  三居 , 面积：73.44-129.94平米 
152,信昌棠棣之华,http://gl.loupan.com/loupan/7031349.html,[七星区],在售,住宅,9500, 一居  ，  二居  ，  三居 , 面积：34.32-142.05平米 
153,双悦SOHO,http://gl.loupan.com/loupan/7075472.html,[八里街区],现房在售,住宅,5300, 二居  ，  三居  ，  四居 , 面积：85-131.8平米 
154,三元极第,http://gl.loupan.com/loupan/6183470.html,[八里街区],在售,住宅,4500, 一居  ，  二居  ，  三居 , 面积：115-127.27平米 
155,雅云尚城,http://gl.loupan.com/loupan/7030701.html,[八里街区],现房在售,住宅,5000, 三居  ，  四居 , 面积：84.85-124.60平米 
156,瑞锦欣城,http://gl.loupan.com/loupan/7030735.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：87-157平米 
157,瑞锦国际商贸城·浙商大酒店,http://gl.loupan.com/loupan/7078639.html,[大桂林],在售,住宅,7000, 一居  ，  二居 , 面积：42-89平米 
158,桂林恒大广场,http://gl.loupan.com/loupan/7075409.html,[叠彩区],现房在售,住宅,7100, 三居  ，  四居 , 面积：186.29-276.63平米 
159,天骄·紫东新城,http://gl.loupan.com/loupan/7080082.html,[大桂林],在售,住宅,4800, 二居  ，  三居  ，  四居 , 面积：89.07-143.07平米 
160,三祺·澜湖国际,http://gl.loupan.com/loupan/7075424.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：92.83-185.79平米 
161,耀辉·美好家园,http://gl.loupan.com/loupan/6183428.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：60.55-263.84平米 
162,安厦·麒麟湾畔,http://gl.loupan.com/loupan/7077329.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：83.06-367.76平米 
163,花样年·麓湖国际社区,http://gl.loupan.com/loupan/6183443.html,[临桂区],在售,住宅,6000, 二居  ，  三居  ，  四居 , 面积：79.96-135平米 
164,慧佳城,http://gl.loupan.com/loupan/7075442.html,[临桂区],现房在售,住宅,6200, 三居  ，  四居 , 面积：91.37-136.9平米 
165,彰泰金桥水岸,http://gl.loupan.com/loupan/7075401.html,[临桂区],现房在售,住宅,6300, 二居  ，  三居  ，  四居 , 面积：72-120平米 
166,汇金万象新城,http://gl.loupan.com/loupan/7077130.html,[八里街区],在售,住宅,7500, 一居  ，  二居  ，  三居 , 面积：76.9-240平米 
167,安厦漓江大美,http://gl.loupan.com/loupan/7031463.html,[象山区],在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：70.79-153.10平米 
168,兴进·漓江郡府,http://gl.loupan.com/loupan/7031310.html,[七星区],在售,住宅,12500, 二居  ，  三居  ，  四居 , 面积：83-257平米 
169,HAO悦国际,http://gl.loupan.com/loupan/7079596.html,[象山区],在售,住宅,8500,null, 面积：64.01-64.01平米 
170,新裕公馆,http://gl.loupan.com/loupan/7075492.html,[七星区],现房在售,住宅,7300, 二居  ，  三居 , 面积：83.52-129平米 
171,彰泰橘子郡,http://gl.loupan.com/loupan/7075398.html,[叠彩区],现房在售,住宅,5388, 三居  ，  四居 , 面积：89-126平米 
172,龙光·普罗旺斯,http://gl.loupan.com/loupan/7076734.html,[象山区],在售,住宅,6500, 三居  ，  四居  ，  五居 , 面积：88.82-223.63平米 
173,大龙湾,http://gl.loupan.com/loupan/7075464.html,[秀峰区],现房在售,住宅,11000, 三居  ，  四居 , 面积：98-140平米 
174,汇荣·桂林桂林,http://gl.loupan.com/loupan/7076509.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：76.96-133平米 
175,飞虎林居,http://gl.loupan.com/loupan/7032849.html,[大桂林],现房在售,住宅,5100, 一居  ，  二居  ，  三居 , 面积：43-138.9平米 
176,飞虎林居·主题式酒店公寓,http://gl.loupan.com/loupan/6183429.html,[临桂区],现房在售,住宅,6100,null, 面积：51-51平米 
177,桂林碧桂园,http://gl.loupan.com/loupan/7075458.html,[临桂区],现房在售,住宅,7300, 二居  ，  三居  ，  四居 , 面积：72-818平米 
178,桂林国奥城,http://gl.loupan.com/loupan/7031337.html,[叠彩区],在售,住宅,9200, 三居  ，  四居 , 面积：89-215平米 
179,万鑫商贸广场· 曼哈顿酒店,http://gl.loupan.com/loupan/7079991.html,[叠彩区],在售,住宅,9500,null,null
180, 融创桂林文旅城,http://gl.loupan.com/loupan/7031322.html,[七星区],现房在售,住宅,8600, 二居  ，  三居  ，  四居 , 面积：75-138平米 
181,彰泰峰誉,http://gl.loupan.com/loupan/7031338.html,[八里街区],现房在售,住宅,5200, 一居  ，  二居  ，  三居 , 面积：39-137平米 
182,信和信大中华养生谷,http://gl.loupan.com/loupan/7075482.html,[临桂区],现房在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：88.5-179.06平米 
183,彰泰桃源居,http://gl.loupan.com/loupan/7075427.html,[秀峰区],现房在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：75-141平米 
184,星河园,http://gl.loupan.com/loupan/7075465.html,[灵川县],在售,住宅,4500, 四居 , 面积：124.56-136.86平米 
185,精通·伊顿国际,http://gl.loupan.com/loupan/6183539.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：85.75-143.39平米 
186,金源新城福邸嘉园,http://gl.loupan.com/loupan/6183504.html,[临桂区],在售,住宅,6400, 三居  ，  四居 , 面积：128-159平米 
